Name,Type,Description,Price,Category
Luxury Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",28.22,Electronics
Classic Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",322.07,Home
Luxury T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",1471.2,Clothing
Modern Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",1387.52,Sports
Modern Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",696.72,Electronics
Modern Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",796.81,Electronics
Luxury Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",986.76,Electronics
Classic Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",1345.81,Beauty
Classic Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",683.34,Home
Modern Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",160.29,Food
Modern Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",1294.1,Books
Premium Football,Football,"A Football in the Sports category, designed for quality and everyday use.",1185.12,Sports
Classic Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",629.02,Home
Premium Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",248.32,Beauty
Premium Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",926.64,Sports
Eco Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",102.07,Home
Luxury Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",196.14,Clothing
Luxury Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",283.37,Electronics
Modern Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",1027.31,Sports
Luxury T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",1290.51,Clothing
Luxury Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",1376.49,Beauty
Eco Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",901.23,Food
Classic Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",1430.86,Electronics
Luxury Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",1026.33,Electronics
Modern Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",173.41,Electronics
Premium Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",68.48,Electronics
Modern Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",656.32,Clothing
Classic Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",206.1,Beauty
Luxury Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",715.24,Clothing
Modern Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",613.3,Electronics
Modern Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",1139.02,Food
Modern Table,Table,"A Table in the Home category, designed for quality and everyday use.",1431.76,Home
Modern Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",1322.95,Books
Premium Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",998.28,Electronics
Modern T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",49.18,Clothing
Eco Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",636.36,Home
Modern Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",30.14,Books
Classic Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",189.76,Books
Luxury Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",207.45,Electronics
Premium Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",312.09,Food
Modern Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",72.96,Sports
Eco Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",119.14,Home
Classic Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",100.28,Food
Premium Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",251.79,Clothing
Premium Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",527.02,Toys
Classic Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",875.72,Sports
Eco Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",319.05,Home
Modern Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",267.89,Beauty
Modern T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",452.03,Clothing
Premium Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",1451.15,Electronics
Classic Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",1089.73,Clothing
Modern Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",238.36,Beauty
Premium Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",1445.68,Clothing
Luxury T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",86.42,Clothing
Eco Textbook,Textbook,"A Textbook in the Books category, designed for quality and everyday use.",654.07,Books
Eco Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",163.11,Home
Modern Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",865.78,Toys
Classic Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",929.76,Clothing
Modern Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",572.29,Clothing
Luxury Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",688.01,Clothing
Eco Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",1314.92,Toys
Eco Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",1365.69,Electronics
Classic Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",616.52,Beauty
Eco Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",1119.07,Books
Eco Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",1188.53,Books
Luxury Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",1395.72,Books
Luxury Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",554.56,Food
Luxury Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",1380.02,Beauty
Eco Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",1454.6,Home
Modern Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",1217.23,Beauty
Premium Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",815.61,Clothing
Modern Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",1394.43,Clothing
Premium Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",652.09,Sports
Luxury Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",339.86,Home
Premium Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",577.23,Beauty
Classic Table,Table,"A Table in the Home category, designed for quality and everyday use.",98.29,Home
Premium Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",92.17,Sports
Luxury Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",150.1,Home
Eco Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",191.01,Food
Classic Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",894.93,Sports
Eco Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",713.45,Books
Eco Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",751.99,Toys
Modern Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",234.5,Books
Classic Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",1275.39,Food
Eco Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",890.83,Sports
Premium Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",250.59,Toys
Modern Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",1216.48,Electronics
Modern Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",472.79,Food
Classic T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",481.37,Clothing
Luxury Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",51.09,Books
Modern Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",103.18,Electronics
Premium Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",687.75,Books
Luxury Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",750.88,Books
Eco Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",684.13,Beauty
Modern Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",1238.74,Books
Eco Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",118.26,Food
Eco Table,Table,"A Table in the Home category, designed for quality and everyday use.",282.89,Home
Classic Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",675.87,Sports
Classic Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",6.73,Books
Luxury Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",536.12,Beauty
Luxury Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",442.8,Electronics
Luxury Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",124.74,Food
Luxury Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",1250.06,Beauty
Premium Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",583.66,Electronics
Luxury Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",823.38,Home
Classic Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",569.78,Beauty
Classic Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",935.52,Electronics
Luxury Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",837.16,Clothing
Premium Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",1462.8,Electronics
Luxury Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",781.38,Sports
Modern Textbook,Textbook,"A Textbook in the Books category, designed for quality and everyday use.",328.14,Books
Eco Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",1230.76,Books
Premium T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",1250.92,Clothing
Classic Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",571.22,Food
Premium Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",494.38,Books
Eco Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",1239.03,Sports
Luxury Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",647.77,Books
Eco Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",991.47,Toys
Premium Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",807.93,Toys
Eco Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",305.17,Beauty
Modern Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",26.24,Food
Eco Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",813.05,Home
Premium Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",1371.16,Sports
Luxury Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",956.33,Toys
Modern Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",1200.55,Beauty
Luxury Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",297.72,Electronics
Luxury Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",721.2,Food
Modern Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",1298.97,Books
Classic Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",1488.25,Electronics
Luxury Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",414.28,Food
Eco Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",574.3,Sports
Modern Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",1255.03,Home
Luxury Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",6.19,Beauty
Premium Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",1038.12,Clothing
Luxury Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",1446.16,Food
Classic Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",1414.17,Food
Premium Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",791.81,Clothing
Eco Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",867.79,Electronics
Premium Football,Football,"A Football in the Sports category, designed for quality and everyday use.",884.02,Sports
Classic T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",608.2,Clothing
Modern Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",289.44,Sports
Premium Textbook,Textbook,"A Textbook in the Books category, designed for quality and everyday use.",101.19,Books
Classic Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",800.87,Books
Eco Table,Table,"A Table in the Home category, designed for quality and everyday use.",193.48,Home
Luxury Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",505.24,Beauty
Classic Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",74.09,Electronics
Modern Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",253.3,Beauty
Premium Textbook,Textbook,"A Textbook in the Books category, designed for quality and everyday use.",659.04,Books
Modern Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",44.01,Food
Modern Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",236.56,Beauty
Premium Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",624.77,Books
Premium Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",1434.47,Books
Luxury Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",752.67,Food
Premium T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",84.32,Clothing
Modern Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",1252.67,Electronics
Modern Football,Football,"A Football in the Sports category, designed for quality and everyday use.",1393.35,Sports
Classic Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",461.56,Food
Classic Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",878.33,Sports
Eco Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",1123.88,Books
Luxury Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",876.86,Toys
Classic Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",345.6,Food
Eco Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",959.78,Clothing
Modern Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",305.61,Electronics
Premium Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",1207.39,Food
Premium Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",1250.9,Clothing
Premium Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",1004.44,Home
Classic Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",1060.17,Electronics
Eco Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",24.88,Toys
Luxury Football,Football,"A Football in the Sports category, designed for quality and everyday use.",669.02,Sports
Modern Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",371.83,Food
Luxury Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",867.87,Beauty
Premium Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",1080.21,Home
Premium Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",517.61,Food
Premium Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",283.87,Food
Luxury Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",731.39,Food
Modern Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",1169.17,Sports
Premium Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",14.88,Sports
Premium Football,Football,"A Football in the Sports category, designed for quality and everyday use.",822.3,Sports
Luxury Football,Football,"A Football in the Sports category, designed for quality and everyday use.",900.68,Sports
Luxury Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",380.19,Beauty
Luxury Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",646.17,Electronics
Eco Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",1413.96,Electronics
Modern Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",712.72,Beauty
Eco Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",849.44,Sports
Modern Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",709.61,Sports
Premium Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",691.68,Food
Eco Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",554.98,Home
Premium Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",1130.24,Home
Classic Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",153.3,Clothing
Luxury Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",647.79,Electronics
Eco Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",146.11,Electronics
Premium Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",996.97,Books
Modern Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",1087.69,Food
Luxury Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",261.83,Sports
Premium Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",1197.03,Toys
Eco Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",821.89,Food
